t,omega_obs,omega_fit,residual
7.1,1.28207,1.26756,0.0145057
7.11667,1.28809,1.28255,0.00554491
7.13333,1.21901,1.29758,-0.0785695
7.15,1.29252,1.31265,-0.020134
7.16667,1.31682,1.32775,-0.0109281
7.18333,1.35321,1.34287,0.0103399
7.2,1.3963,1.35799,0.0383169
7.21667,1.41227,1.3731,0.0391615
7.23333,1.38694,1.3882,-0.00125821
7.25,1.36404,1.40327,-0.0392283
7.26667,1.38014,1.4183,-0.0381648
7.28333,1.39509,1.43328,-0.0381866
7.3,1.46772,1.44819,0.0195267
7.31667,1.43954,1.46304,-0.0234933
7.33333,1.47096,1.47779,-0.00682686
7.35,1.54432,1.49245,0.0518705
7.36667,1.51455,1.507,0.00754603
7.38333,1.51283,1.52143,-0.00859837
7.4,1.55448,1.53574,0.0187446
7.41667,1.57641,1.5499,0.0265089
7.43333,1.54594,1.56391,-0.0179725
7.45,1.53542,1.57776,-0.0423343
7.46667,1.60765,1.59144,0.0162097
7.48333,1.61652,1.60493,0.0115876
7.5,1.58307,1.61823,-0.0351602
7.51667,1.66912,1.63133,0.0377882
7.53333,1.6712,1.64422,0.0269759
7.55,1.62239,1.65688,-0.0344923
7.56667,1.64963,1.66932,-0.0196866
7.58333,1.71923,1.68151,0.0377224
7.6,1.69348,1.69345,3.14874e-05
7.61667,1.6623,1.70513,-0.0428221
7.63333,1.72991,1.71654,0.0133671
7.65,1.72774,1.72767,7.14218e-05
7.66667,1.79018,1.73852,0.0516617
7.68333,1.77377,1.74908,0.0246892
7.7,1.74374,1.75933,-0.0155885
7.71667,1.80307,1.76927,0.0337926
7.73333,1.79525,1.7789,0.0163442
7.75,1.79459,1.7882,0.00639009
7.76667,1.78417,1.79718,-0.0130052
7.78333,1.76907,1.80581,-0.0367386
7.8,1.78112,1.8141,-0.0329763
7.81667,1.83723,1.82204,0.0151962
7.83333,1.86605,1.82962,0.0364351
7.85,1.87982,1.83683,0.0429858
7.86667,1.83438,1.84368,-0.00930129
7.88333,1.83389,1.85016,-0.016274
7.9,1.87618,1.85626,0.019916
7.91667,1.81236,1.86198,-0.0496118
7.93333,1.87488,1.8673,0.00757727
7.95,1.90271,1.87224,0.0304652
7.96667,1.84248,1.87678,-0.0342996
7.98333,1.90345,1.88093,0.0225188
8,1.97126,1.88467,0.0865924
8.01667,1.85376,1.88801,-0.0342485
8.03333,1.8344,1.89094,-0.0565396
8.05,1.95166,1.89346,0.0581906
8.06667,1.90352,1.89558,0.00794541
8.08333,1.87029,1.89728,-0.0269846
8.1,1.90019,1.89856,0.00162463
8.11667,1.91589,1.89943,0.0164544
8.13333,1.89486,1.89989,-0.0050291
8.15,1.9057,1.89993,0.00577112
8.16667,1.95794,1.89955,0.0583911
8.18333,1.88364,1.89876,-0.0151153
8.2,1.87344,1.89755,-0.0241101
8.21667,1.93222,1.89593,0.0362851
8.23333,1.93272,1.8939,0.0388231
8.25,1.89752,1.89145,0.00607221
8.26667,1.83594,1.8886,-0.0526568
8.28333,1.90111,1.88534,0.0157718
8.3,1.92427,1.88167,0.0426003
8.31667,1.87245,1.8776,-0.00515597
8.33333,1.84827,1.87313,-0.0248622
8.35,1.84534,1.86827,-0.0229334
8.36667,1.89347,1.86302,0.0304532
8.38333,1.90177,1.85737,0.0443996
8.4,1.86269,1.85135,0.0113477
8.41667,1.83726,1.84494,-0.00768094
8.43333,1.80796,1.83816,-0.0302046
8.45,1.86101,1.83101,0.0300009
8.46667,1.87305,1.8235,0.0495539
8.48333,1.80661,1.81563,-0.00901717
8.5,1.75141,1.80741,-0.0559953
8.51667,1.77848,1.79884,-0.0203553
8.53333,1.83882,1.78993,0.0488893
8.55,1.82805,1.78069,0.0473581
8.56667,1.80561,1.77112,0.0344845
8.58333,1.71505,1.76124,-0.0461935
8.6,1.73292,1.75104,-0.0181256
8.61667,1.77648,1.74055,0.035938
8.63333,1.69618,1.72975,-0.0335725
8.65,1.71992,1.71867,0.00125342
8.66667,1.72275,1.70731,0.0154397
8.68333,1.69772,1.69568,0.00203416
8.7,1.70753,1.68379,0.0237409
8.71667,1.65222,1.67165,-0.0194284
8.73333,1.63013,1.65926,-0.029124
8.75,1.65456,1.64664,0.00791749
8.76667,1.66635,1.63379,0.0325578
8.78333,1.65523,1.62073,0.0344968
8.8,1.63429,1.60747,0.026823
8.81667,1.54391,1.59401,-0.0500953
8.83333,1.54948,1.58037,-0.0308894
8.85,1.59062,1.56655,0.0240732
8.86667,1.56804,1.55257,0.0154758
8.88333,1.50683,1.53843,-0.0316047
8.9,1.53688,1.52416,0.0127238
8.91667,1.56833,1.50975,0.058578
8.93333,1.48725,1.49522,-0.00796764
8.95,1.49486,1.48058,0.0142765
8.96667,1.48407,1.46584,0.0182341
8.98333,1.42152,1.45102,-0.0294991
9,1.40011,1.43611,-0.0359988
9.01667,1.42739,1.42115,0.00624701
9.03333,1.47026,1.40613,0.06413
9.05,1.38614,1.39106,-0.00492622
9.06667,1.32947,1.37597,-0.0464952
9.08333,1.36532,1.36086,0.00446119
9.1,1.37692,1.34573,0.0311866
9.11667,1.29015,1.33061,-0.0404695
9.13333,1.33597,1.31551,0.0204624
9.15,1.38134,1.30043,0.0809112
9.16667,1.25921,1.28539,-0.0261784
9.18333,1.23511,1.2704,-0.0352878
9.2,1.23633,1.25547,-0.0191439
9.21667,1.27348,1.24061,0.0328669
9.23333,1.26722,1.22583,0.0413868
9.25,1.137,1.21115,-0.0741503
9.26667,1.15432,1.19657,-0.0422577
9.28333,1.23301,1.18211,0.0509009
9.3,1.23554,1.16778,0.0677652
9.31667,1.15386,1.15358,0.000280652
9.33333,1.0623,1.13953,-0.0772312
9.35,1.1385,1.12564,0.012863
9.36667,1.12534,1.11192,0.0134166
9.38333,1.12544,1.09838,0.0270576
9.4,1.08973,1.08503,0.00469759
9.41667,1.02164,1.07188,-0.0502436
9.43333,1.06183,1.05895,0.00287926
9.45,1.08042,1.04623,0.0341916
9.46667,0.990186,1.03374,-0.0435528
9.48333,1.00305,1.02149,-0.0184433
9.5,1.07927,1.00949,0.0697774
9.51667,0.962453,0.997746,-0.035293
9.53333,0.949565,0.986269,-0.0367041
9.55,0.975728,0.975067,0.000661534
9.56667,0.949273,0.964149,-0.0148755
9.58333,0.991732,0.953522,0.0382102
9.6,0.954464,0.943195,0.0112686
9.61667,0.881566,0.933176,-0.0516101
9.63333,0.937653,0.923473,0.0141807
9.65,0.930167,0.914092,0.0160754
9.66667,0.91657,0.90504,0.0115294
9.68333,0.9225,0.896325,0.0261746
9.7,0.840544,0.887953,-0.0474098
9.71667,0.843726,0.879931,-0.0362052
