t,omega_obs,omega_fit,residual
22.1,1.09521,1.07048,0.0247233
22.1167,1.08545,1.08361,0.00184364
22.1333,1.07082,1.09694,-0.0261186
22.15,1.08369,1.11046,-0.0267626
22.1667,1.16805,1.12416,0.0438926
22.1833,1.14661,1.13803,0.00858397
22.2,1.14092,1.15206,-0.0111371
22.2167,1.20096,1.16624,0.0347125
22.2333,1.21962,1.18056,0.0390566
22.25,1.21727,1.19501,0.0222573
22.2667,1.16191,1.20958,-0.0476636
22.2833,1.19616,1.22425,-0.0280884
22.3,1.2793,1.23902,0.0402789
22.3167,1.29021,1.25387,0.0363396
22.3333,1.25358,1.26879,-0.0152147
22.35,1.24735,1.28378,-0.0364263
22.3667,1.33662,1.29881,0.0378051
22.3833,1.36777,1.31389,0.053882
22.4,1.29391,1.32899,-0.0350793
22.4167,1.29215,1.34411,-0.0519546
22.4333,1.36395,1.35923,0.00471583
22.45,1.42361,1.37434,0.0492603
22.4667,1.3957,1.38944,0.00626242
22.4833,1.359,1.40451,-0.0455091
22.5,1.47379,1.41953,0.0542584
22.5167,1.48625,1.43451,0.0517457
22.5333,1.43782,1.44942,-0.0116004
22.55,1.42601,1.46425,-0.0382401
22.5667,1.44443,1.479,-0.0345684
22.5833,1.54342,1.49365,0.0497662
22.6,1.54143,1.50819,0.0332405
22.6167,1.47872,1.52261,-0.0438915
22.6333,1.55333,1.5369,0.0164294
22.65,1.59115,1.55106,0.0400983
22.6667,1.5437,1.56505,-0.0213489
22.6833,1.56618,1.57889,-0.0127065
22.7,1.61739,1.59255,0.0248393
22.7167,1.57262,1.60603,-0.0334104
22.7333,1.56021,1.61932,-0.0591075
22.75,1.71329,1.6324,0.080895
22.7667,1.6955,1.64527,0.0502301
22.7833,1.65315,1.65791,-0.00476003
22.8,1.6509,1.67033,-0.0194213
22.8167,1.64072,1.6825,-0.0417755
22.8333,1.69926,1.69442,0.00484828
22.85,1.73588,1.70607,0.0298048
22.8667,1.72759,1.71746,0.010125
22.8833,1.7507,1.72857,0.0221228
22.9,1.72146,1.7394,-0.0179401
22.9167,1.68581,1.74993,-0.0641229
22.9333,1.79253,1.76016,0.0323704
22.95,1.78455,1.77008,0.014475
22.9667,1.7624,1.77968,-0.0172746
22.9833,1.77522,1.78895,-0.0137309
23,1.84805,1.7979,0.0501542
23.0167,1.86334,1.8065,0.0568403
23.0333,1.78238,1.81476,-0.0323872
23.05,1.81257,1.82267,-0.0101014
23.0667,1.88603,1.83022,0.055803
23.0833,1.8479,1.83741,0.010487
23.1,1.81982,1.84423,-0.0244149
23.1167,1.84184,1.85068,-0.0088331
23.1333,1.85286,1.85674,-0.00387973
23.15,1.85794,1.86243,-0.00448595
23.1667,1.8875,1.86772,0.0197749
23.1833,1.8848,1.87263,0.0121713
23.2,1.84919,1.87714,-0.0279453
23.2167,1.88072,1.88125,-0.00053434
23.2333,1.8562,1.88496,-0.0287612
23.25,1.86585,1.88827,-0.0224188
23.2667,1.90089,1.89116,0.00972098
23.2833,1.92936,1.89365,0.0357077
23.3,1.93097,1.89573,0.0352366
23.3167,1.85197,1.8974,-0.0454317
23.3333,1.87664,1.89865,-0.0220114
23.35,1.93045,1.89948,0.0309693
23.3667,1.93332,1.89991,0.0334095
23.3833,1.93144,1.89991,0.0315316
23.4,1.89235,1.8995,-0.00715223
23.4167,1.88987,1.89867,-0.0088092
23.4333,1.9235,1.89743,0.026071
23.45,1.89968,1.89578,0.00389926
23.4667,1.91143,1.89371,0.0177194
23.4833,1.83945,1.89123,-0.0517835
23.5,1.84129,1.88834,-0.0470564
23.5167,1.93979,1.88505,0.0547367
23.5333,1.89544,1.88135,0.014086
23.55,1.84652,1.87725,-0.0307242
23.5667,1.828,1.87275,-0.0447467
23.5833,1.90966,1.86785,0.0418103
23.6,1.88037,1.86257,0.0178019
23.6167,1.79926,1.85689,-0.0576309
23.6333,1.86791,1.85084,0.01707
23.65,1.86285,1.8444,0.0184551
23.6667,1.83611,1.83759,-0.00147984
23.6833,1.82727,1.83041,-0.00313851
23.7,1.81548,1.82287,-0.00738943
23.7167,1.79381,1.81497,-0.0211575
23.7333,1.79621,1.80672,-0.0105083
23.75,1.79088,1.79812,-0.00723896
23.7667,1.76172,1.78918,-0.0274698
23.7833,1.76931,1.77992,-0.0106119
23.8,1.78524,1.77032,0.014911
23.8167,1.77724,1.76041,0.016821
23.8333,1.7533,1.75019,0.00310303
23.85,1.76237,1.73967,0.0227041
23.8667,1.69734,1.72885,-0.0315121
23.8833,1.74041,1.71775,0.0226648
23.9,1.73929,1.70637,0.0329204
23.9167,1.6568,1.69471,-0.0379174
23.9333,1.66131,1.6828,-0.021494
23.95,1.66885,1.67064,-0.00179178
23.9667,1.68442,1.65823,0.0261853
23.9833,1.67953,1.64559,0.0339417
